Page,PDF_Field_Name,Field_Type,Database_Column,Database_Table,Required,Notes
9,other_vehicle_make,Text,vehicle_make,incident_other_vehicles,No,Other vehicle make (from DVLA if available)
9,other_vehicle_model,Text,vehicle_model,incident_other_vehicles,No,Other vehicle model (from DVLA if available)
9,other_vehicle_color,Text,vehicle_color,incident_other_vehicles,No,Other vehicle color (from DVLA if available)
10,other_insurance_company,Text,insurance_company,incident_other_vehicles,No,Other driver's insurance company
10,other_policy_number,Text,policy_number,incident_other_vehicles,No,Other driver's policy number
10,other_damage,Textarea,other_damage_accident,incident_reports,No,Damage to other vehicle
10,other_prior_damage,Textarea,other_damage_prior,incident_reports,No,Pre-existing damage on other vehicle
11,police_attended,Radio,did_police_attend,incident_reports,No,"Options: Yes, No"
11,police_reference,Text,accident_reference_number,incident_reports,No,Police incident reference number
11,officer_badge,Text,police_officer_badge_number,incident_reports,No,Officer badge/collar number
11,officer_name,Text,police_officers_name,incident_reports,No,Officer's name
11,police_force,Text,police_force_details,incident_reports,No,Police force name (e.g. Metropolitan Police)
12,your_breath_test,Radio,breath_test,incident_reports,No,"Options: Passed, Failed, Refused, Not tested"
12,other_breath_test,Radio,other_breath_test,incident_reports,No,"Other driver's breath test result"
12,witnesses_present,Radio,any_witness,incident_reports,No,"Options: Yes, No"
12,witness_details,Textarea,witness_contact_information,incident_reports,No,"Witness contact info (or formatted from incident_witnesses table)"
13,scene_overview_1,Image,file_url_scene_overview,incident_reports,No,Scene overview photo 1
13,scene_overview_2,Image,file_url_scene_overview_1,incident_reports,No,Scene overview photo 2
14,other_vehicle_photo_1,Image,file_url_other_vehicle,incident_reports,No,Other vehicle photo 1
14,other_vehicle_photo_2,Image,file_url_other_vehicle_1,incident_reports,No,Other vehicle photo 2
14,your_damage_1,Image,file_url_vehicle_damage,incident_reports,No,Your vehicle damage photo 1
14,your_damage_2,Image,file_url_vehicle_damage_1,incident_reports,No,Your vehicle damage photo 2
14,your_damage_3,Image,file_url_vehicle_damage_2,incident_reports,No,Your vehicle damage photo 3
15,what3words_location,Image,file_url_what3words,incident_reports,No,what3words location screenshot
15,general_docs_1,Image,file_url_documents,incident_reports,No,General documents photo 1
15,general_docs_2,Image,file_url_documents_1,incident_reports,No,General documents photo 2
15,audio_recording,Text,file_url_record_detailed_account_of_what_happened,incident_reports,No,"Audio/video recording URL (show as link, not embed)"
16,ai_model_used,Text,ai_model_used,incident_reports,No,"AI model identifier (e.g. 'openai:gpt-4o-2024-08-06')"
16,ai_narrative_text,Textarea,ai_narrative_text,incident_reports,No,AI-generated chronological factual account (2000-2500 words - LARGE field)
17,user_full_name,Text,COMPUTED,user_signup,No,"Computed from user_signup.name + ' ' + user_signup.surname"
17,signature_date,Date,COMPUTED,N/A,No,Current date at PDF generation (DD/MM/YYYY)
17,declaration_accepted,Checkbox,STATIC,N/A,No,Static checkbox for user to sign (not stored in DB)
18,vehicle2_license_plate,Text,vehicle_license_plate,incident_other_vehicles,No,2nd vehicle license plate (overflow page)
18,vehicle2_make_model,Text,COMPUTED,incident_other_vehicles,No,"2nd vehicle: vehicle_make + ' ' + vehicle_model"
18,vehicle2_driver_name,Text,driver_name,incident_other_vehicles,No,2nd vehicle driver name
18,vehicle2_phone,Text,driver_phone,incident_other_vehicles,No,2nd vehicle driver phone
18,vehicle2_insurance,Text,insurance_company,incident_other_vehicles,No,2nd vehicle insurance company
18,vehicle3_license_plate,Text,vehicle_license_plate,incident_other_vehicles,No,3rd vehicle license plate (overflow page)
18,vehicle3_make_model,Text,COMPUTED,incident_other_vehicles,No,"3rd vehicle: vehicle_make + ' ' + vehicle_model"
18,vehicle3_driver_name,Text,driver_name,incident_other_vehicles,No,3rd vehicle driver name
18,vehicle3_phone,Text,driver_phone,incident_other_vehicles,No,3rd vehicle driver phone
18,vehicle3_insurance,Text,insurance_company,incident_other_vehicles,No,3rd vehicle insurance company
18,vehicle4_license_plate,Text,vehicle_license_plate,incident_other_vehicles,No,4th vehicle license plate (overflow page)
18,vehicle4_make_model,Text,COMPUTED,incident_other_vehicles,No,"4th vehicle: vehicle_make + ' ' + vehicle_model"
18,vehicle4_driver_name,Text,driver_name,incident_other_vehicles,No,4th vehicle driver name
18,vehicle4_phone,Text,driver_phone,incident_other_vehicles,No,4th vehicle driver phone
18,vehicle4_insurance,Text,insurance_company,incident_other_vehicles,No,4th vehicle insurance company
18,vehicle5_license_plate,Text,vehicle_license_plate,incident_other_vehicles,No,5th vehicle license plate (overflow page)
18,vehicle5_make_model,Text,COMPUTED,incident_other_vehicles,No,"5th vehicle: vehicle_make + ' ' + vehicle_model"
18,vehicle5_driver_name,Text,driver_name,incident_other_vehicles,No,5th vehicle driver name
18,vehicle5_phone,Text,driver_phone,incident_other_vehicles,No,5th vehicle driver phone
18,vehicle5_insurance,Text,insurance_company,incident_other_vehicles,No,5th vehicle insurance company
19,witness2_name,Text,witness_name,incident_witnesses,No,2nd witness name (overflow page)
19,witness2_phone,Text,witness_phone,incident_witnesses,No,2nd witness phone
19,witness2_address,Textarea,witness_address,incident_witnesses,No,2nd witness address
19,witness2_statement,Textarea,witness_statement,incident_witnesses,No,2nd witness statement
19,witness3_name,Text,witness_name,incident_witnesses,No,3rd witness name (overflow page)
19,witness3_phone,Text,witness_phone,incident_witnesses,No,3rd witness phone
19,witness3_address,Textarea,witness_address,incident_witnesses,No,3rd witness address
19,witness3_statement,Textarea,witness_statement,incident_witnesses,No,3rd witness statement
19,witness4_name,Text,witness_name,incident_witnesses,No,4th witness name (overflow page)
19,witness4_phone,Text,witness_phone,incident_witnesses,No,4th witness phone
19,witness4_address,Textarea,witness_address,incident_witnesses,No,4th witness address
19,witness4_statement,Textarea,witness_statement,incident_witnesses,No,4th witness statement
