Field Name,Field Type,Default Value
"other-drivers-policy-cover-type","Text",""
"other-drivers-policy-holder-name","Text",""
"other-drivers-policy-number","Text",""
"other-driving-license-number","Text",""
"other-email-address","Text",""
"other-full-name","Text",""
"other-vehicle-look-up-colour","Text",""
"other-vehicle-look-up-fuel-type","Text",""
"other-vehicle-look-up-insurance-status","Text",""
"other-vehicle-look-up-make","Text",""
"other-vehicle-look-up-model","Text",""
"other-vehicle-look-up-mot-expiry-date","Text",""
"other-vehicle-look-up-mot-status","Text",""
"other-vehicle-look-up-tax-due-date","Text",""
"other-vehicle-look-up-tax-status","Text",""
"other-vehicle-look-up-year","Text",""
"other-vehicle-registration","Text",""
"police_attend","Checkbox","No"
"police_attended","Checkbox","No"
"police_force","Text",""
"policy_holder","Text",""
"policy_number","Text",""
"postcode","Text",""
"quality_review","Text",""
"recovery_breakdown_email","Text",""
"recovery_breakdown_number","Text",""
"recovery_company","Text",""
"road_condition_dry","Checkbox","No"
"road_condition_icy","Checkbox","No"
"road_condition_loose_surface","Checkbox","No"
"road_condition_slush_on_road","Checkbox","No"
"road_condition_snow_covered","Checkbox","No"
"road_condition_wet","Checkbox","No"
"road_markings_visible_partially","Checkbox","No"
"road_markings_vsible_no","Checkbox","No"
"road_markings_vsible_yes","Checkbox","No"
"road_type_a_road","Checkbox","No"
"road_type_b_road","Checkbox","No"
"road_type_car_park","Checkbox","No"
"road_type_motorway","Checkbox","No"
"road_type_private_road","Checkbox","No"
"road_type_rural","Checkbox","No"
"road_type_urban","Checkbox","No"
"scene_photo_1_url","Text",""
"scene_photo_2_url","Text",""
"scene_photo_3_url","Text",""
"seatbelt_reason","Text",""
"seatbelt_worn","Checkbox","No"
"seatbelt_worn_no","Checkbox","No"
"Signature70","PDFSignature",""
"six_point_safety_check_completed","Checkbox","No"
"special_condition_animals","Checkbox","No"
"special_condition_crossing","Checkbox","No"
"special_condition_cyclists","Checkbox","No"
"special_condition_narrow_road","Checkbox","No"
"special_condition_oil_spills","Checkbox","No"
"special_condition_parked_vehicles","Checkbox","No"
"special_condition_pedestrians","Checkbox","No"
"special_condition_potholes","Checkbox","No"
"special_condition_roadworks","Checkbox","No"
"special_condition_school_zone","Checkbox","No"
"special_condition_traffic_calming","Checkbox","No"
"special_condition_workmen","Checkbox","No"
"speed_limit","Text",""
"street","Text",""
"street_name_optional","Text",""
"subscription_start_date","Text",""
"surname","Text",""
"town","Text",""
"traffic_conditions_heavy","Checkbox","No"
"traffic_conditions_light","Checkbox","No"
"traffic_conditions_moderate","Checkbox","No"
"traffic_conditions_no_traffic","Checkbox","No"
"traffic_light_status","Text",""
"unsure _did_not_attempt","Checkbox","No"
"user_breath_test","Text",""
"user_manoeuvre","Text",""
"usual_vehicle","Checkbox","No"
"vehicle_colour","Text",""
"vehicle_condition","Text",""
"vehicle_damage_photo_1_url","Text",""
"vehicle_damage_photo_2_url","Text",""
"vehicle_damage_photo_3_url","Text",""
"vehicle_damage_photo_4_url","Text",""
"vehicle_damage_photo_5_url","Text",""
"vehicle_license_plate","Text",""
"vehicle_make","Text",""
"vehicle_model","Text",""
"vehicle_picture_back","Text",""
"vehicle_picture_driver_side","Text",""
"vehicle_picture_front","Text",""
"vehicle_picture_passenger_side","Text",""
"visibility_large_vehicle","Checkbox","No"
"visibility_poor","Checkbox","No"
"visibility_restricted_structure","Checkbox","No"
"visibility_sun_glare","Checkbox","No"
"visibility_very_poor","Checkbox","No"
"visibilty_good","Checkbox","No"
"visibilty_street_lights","Checkbox","No"
"voice_transcription","Text",""
"weather_bright_sunlight","Checkbox","No"
"weather_clear","Checkbox","No"
"weather_cloudy","Checkbox","No"
"weather_drizzle","Checkbox","No"
"weather_dusk","Checkbox","No"
"weather_fog","Checkbox","No"
"weather_hail","Checkbox","No"
"weather_heavy_rain","Checkbox","No"
"weather_raining","Checkbox","No"
"weather_snow","Checkbox","No"
"weather_thunder_lightening","Checkbox","No"
"weather_windy","Checkbox","No"
"what3words","Text",""
"witness_email_2","Text",""
"witness_email_address","Text",""
"witness_mobile_number","Text",""
"witness_name","Text",""
"witness_number","Text",""
"witness_statement","Text",""
"witness_statement_2","Text",""
"witnesses_present","Checkbox","No"
"yes_i_drove_it_away","Checkbox","No"
"your_speed","Text",""
