Page,UI Field Name,Storage Key Used,Expected Storage Key,Database Column,Status,Severity,Notes
7,other_vehicle_look_up_tax_status,sessionStorage:incident_page7,sessionStorage:incident_page7,other_vehicle_look_up_tax_status,MATCH,WORKING,DVLA data saved correctly ✅
7,other_vehicle_look_up_tax_due_date,sessionStorage:incident_page7,sessionStorage:incident_page7,other_vehicle_look_up_tax_due_date,MATCH,WORKING,DVLA data saved correctly ✅
7,other_vehicle_look_up_insurance_status,sessionStorage:incident_page7,sessionStorage:incident_page7,other_vehicle_look_up_insurance_status,MATCH,WORKING,DVLA data saved correctly ✅
7,other_drivers_insurance_company,sessionStorage:incident_page7,sessionStorage:incident_page7,other_drivers_insurance_company,MATCH,WORKING,Insurance data saved ✅
7,other_drivers_policy_number,sessionStorage:incident_page7,sessionStorage:incident_page7,other_drivers_policy_number,MATCH,WORKING,Insurance data saved ✅
7,other_drivers_policy_holder_name,sessionStorage:incident_page7,sessionStorage:incident_page7,other_drivers_policy_holder_name,MATCH,WORKING,Insurance data saved ✅
7,other_drivers_policy_cover_type,sessionStorage:incident_page7,sessionStorage:incident_page7,other_drivers_policy_cover_type,MATCH,WORKING,Insurance data saved ✅
7,no_visible_damage,sessionStorage:incident_page7,sessionStorage:incident_page7,no_visible_damage,MATCH,WORKING,Boolean flag saved ✅
7,describe_damage_to_vehicle,sessionStorage:incident_page7,sessionStorage:incident_page7,describe_damage_to_vehicle,MATCH,WORKING,Damage description saved ✅
9,witnesses_present,localStorage:page9_data,sessionStorage:incident_page9,witnesses_present,MISMATCH,CRITICAL,Boolean flag lost
9,witness_name,localStorage:page9_data,sessionStorage:incident_page9,witness_name,MISMATCH,CRITICAL,Witness name lost
9,witness_mobile_number,localStorage:page9_data,sessionStorage:incident_page9,witness_mobile_number,MISMATCH,CRITICAL,Contact number lost
9,witness_email_address,localStorage:page9_data,sessionStorage:incident_page9,witness_email_address,MISMATCH,CRITICAL,Email address lost
9,witness_statement,localStorage:page9_data,sessionStorage:incident_page9,witness_statement,MISMATCH,CRITICAL,Witness testimony lost
9,additional_witnesses,sessionStorage:additional_witnesses,sessionStorage:additional_witnesses,N/A (processed separately),MATCH,WORKING,Additional witnesses saved correctly ✅
10,police_attended,localStorage:page10_data,sessionStorage:incident_page10,police_attended,MISMATCH,CRITICAL,Boolean flag lost
10,accident_ref_number,localStorage:page10_data,sessionStorage:incident_page10,accident_ref_number,MISMATCH,CRITICAL,Police incident number lost
10,police_force,localStorage:page10_data,sessionStorage:incident_page10,police_force,MISMATCH,CRITICAL,Police force name lost
10,officer_name,localStorage:page10_data,sessionStorage:incident_page10,officer_name,MISMATCH,CRITICAL,Officer name lost
10,officer_badge,localStorage:page10_data,sessionStorage:incident_page10,officer_badge,MISMATCH,CRITICAL,Badge number lost
10,user_breath_test,localStorage:page10_data,sessionStorage:incident_page10,user_breath_test,MISMATCH,CRITICAL,Breath test result lost
10,other_breath_test,localStorage:page10_data,sessionStorage:incident_page10,other_breath_test,MISMATCH,CRITICAL,Other driver test lost
10,airbags_deployed,localStorage:page10_data,sessionStorage:incident_page10,airbags_deployed,MISMATCH,CRITICAL,Safety data lost
10,seatbelts_worn,localStorage:page10_data,sessionStorage:incident_page10,seatbelts_worn,MISMATCH,CRITICAL,Safety data lost
10,seatbelt_reason,localStorage:page10_data,sessionStorage:incident_page10,seatbelt_reason,MISMATCH,CRITICAL,Safety explanation lost
